,_ID,TimeSt,Country,Province,City,Latitude,Longitude,POI,Distance
4685,4751560,2017-06-21 01:15:18.500,CA,AB,Calgary,51.0823,-113.9578,POI1,275840.6643288444
4686,4751651,2017-06-21 06:15:18.790,CA,AB,Wetaskiwin,52.8333,-113.45,POI1,79302.93521502975
4687,4751726,2017-06-21 10:15:20.997,CA,AB,Edmonton,53.5166,-113.50556999999999,POI1,3539.450938715917
4688,4751757,2017-06-21 20:15:17.300,CA,BC,Mission,49.12787,-122.31381,POI1,784824.9363904278
4689,4751831,2017-06-21 21:15:18.040,CA,ON,Markham,43.8747,-79.2599,POI3,485734.285557433
4690,4751883,2017-06-21 06:15:18.143,CA,ON,Mississauga,43.6046,-79.6729,POI3,528504.6202081786
4691,4751961,2017-06-21 19:15:18.203,CA,ON,Markham,43.8735,-79.3335,POI3,491177.2274349621
4692,4752015,2017-06-21 00:15:18.220,CA,ON,Ottawa,45.44663,-75.64131,POI3,161998.55174924587
4693,4752104,2017-06-21 14:15:20.403,CA,QC,Laval,45.5728,-73.73114,POI3,14060.659824773817
4694,4752110,2017-06-21 01:15:21.203,CA,AB,Airdrie,51.2889,-114.015,POI1,253548.1439799488
4695,4752114,2017-06-21 18:15:21.787,CA,MB,Winnipeg,49.924,-97.20581999999999,POI1,1188019.5890909384
4696,4752174,2017-06-21 01:15:18.957,CA,AB,Calgary,50.956,-114.079,POI1,290828.2596815017
4697,4752273,2017-06-21 22:15:20.287,CA,BC,Vancouver,49.24324,-123.14698,POI1,822419.8443113856
4698,4752283,2017-06-21 02:15:21.417,CA,ON,Mississauga,43.5373,-79.6903,POI3,533070.1632131672
4700,4752358,2017-06-21 10:15:22.870,CA,ON,Mississauga,43.5368,-79.667,POI3,531415.8152963527
4701,4752396,2017-06-21 13:15:21.850,CA,AB,Edmonton,53.5181,-113.5797,POI1,6950.40475721772
4702,4752434,2017-06-21 04:15:24.617,CA,ON,Ottawa,45.4019,-75.7513,POI3,170944.52214904423
4703,4752463,2017-06-21 16:15:25.433,CA,AB,Calgary,51.118520000000004,-113.93876999999999,POI1,271689.9998437883
4704,4752550,2017-06-21 17:15:21.497,CA,ON,Mississauga,43.7029,-79.6553,POI3,522538.3387371349
4705,4752618,2017-06-21 01:15:21.703,CA,ON,Mississauga,43.5924,-79.6953,POI3,530720.0278017183
4706,4752619,2017-06-21 06:15:25.190,CA,AB,Calgary,50.9093,-114.1028,POI1,296199.8957494164
4707,4752707,2017-06-21 12:15:21.737,CA,ON,Oakville,43.4508,-79.75686,POI3,542212.1626965486
4708,4752734,2017-06-21 04:15:22.930,CA,AB,Edmonton,53.5129,-113.623,POI1,9797.75203703728
4709,4752829,2017-06-21 19:15:23.210,CA,AB,Calgary,51.1387,-114.2015,POI1,272074.44697562803
4710,4752909,2017-06-21 05:15:25.743,CA,ON,Toronto,43.6666,-79.3823,POI3,504464.462731943
4711,4752956,2017-06-21 16:15:26.543,CA,AB,Calgary,51.0419,-114.2,POI1,282662.84575257363
4712,4753050,2017-06-21 15:15:21.953,CA,ON,Etobicoke,43.6917,-79.5861,POI3,518025.5343554106
4713,4753063,2017-06-21 20:15:22.867,CA,AB,Edmonton,53.40609,-113.46661999999999,POI1,15627.130750684752
4714,4753136,2017-06-21 09:15:23.120,CA,AB,Edmonton,53.5129,-113.623,POI1,9797.75203703728
4715,4753196,2017-06-21 06:15:24.313,CA,QC,Montréal,45.5238,-73.5932,POI3,2130.8945562819786
4716,4753237,2017-06-21 21:15:25.197,CA,AB,Airdrie,51.2889,-114.015,POI1,253548.1439799488
4717,4753298,2017-06-21 05:15:25.620,CA,AB,Fort Mcmurray,56.7141,-111.38,POI1,376791.0661830225
4718,4753324,2017-06-21 15:15:26.837,CA,AB,Calgary,51.053,-114.161,POI1,281000.90732292575
4719,4753415,2017-06-21 00:15:24.360,CA,ON,St Catharines,43.1314,-79.21897,POI3,522155.1476188949
4720,4753455,2017-06-21 07:15:26.313,CA,ON,Scarborough,43.798,-79.227,POI3,486891.1580661112
4721,4753532,2017-06-21 05:15:26.740,CA,AB,Calgary,51.053,-114.161,POI1,281000.90732292575
4722,4753554,2017-06-21 13:15:28.660,CA,MB,Brandon,49.81638,-99.96513,POI1,1018180.2603530512
4723,4753559,2017-06-21 00:15:26.773,CA,AB,Edmonton,53.4653,-113.386,POI1,11151.614449694842
4725,4753625,2017-06-21 09:15:27.020,CA,SK,Saskatoon,52.12108,-106.71198999999999,POI1,481609.9113422106
4726,4753674,2017-06-21 22:15:28.900,CA,AB,Sherwood Park,53.5276,-113.296,POI1,12707.162637764306
4727,4753722,2017-06-21 15:15:30.833,CA,AB,Edson,53.66243000000001,-116.43073000000001,POI1,194721.83155877623
4728,4753786,2017-06-21 18:15:28.160,CA,AB,Edmonton,53.4567,-113.5801,POI1,11744.006229785204
4729,4753796,2017-06-21 11:15:28.257,CA,AB,Calgary,51.01958,-114.20021000000001,POI1,285112.59596689104
4730,4753811,2017-06-21 15:15:28.720,CA,QC,Laval,45.5728,-73.73114,POI3,14060.659824773817
4731,4753906,2017-06-21 01:15:28.973,CA,ON,Toronto,43.66754,-79.31532,POI3,499586.63031873043
4732,4753959,2017-06-21 04:15:30.960,CA,NL,Bonavista,48.50423,-53.043769999999995,POI4,855256.2887218618
4733,4753993,2017-06-21 18:15:29.347,CA,AB,Edmonton,53.48345,-113.68066999999999,POI1,14654.532363531964
4735,4754012,2017-06-21 04:15:32.010,CA,AB,Edmonton,53.6288,-113.476,POI1,9210.805772400541
4736,4754023,2017-06-21 10:15:33.227,CA,ON,Toronto,43.6682,-79.4209,POI3,507174.9434252697
4737,4754113,2017-06-21 01:15:33.283,CA,ON,Kanata,45.3387,-75.9001,POI3,183263.29124130774
4738,4754125,2017-06-21 01:15:33.307,CA,ON,Mississauga,43.6046,-79.6729,POI3,528504.6202081786
4739,4754223,2017-06-21 12:15:33.317,CA,ON,Newmarket,44.046,-79.487,POI3,495124.3496925139
4740,4754315,2017-06-21 12:15:33.320,CA,ON,Toronto,43.672,-79.3791,POI3,503968.9777456182
4741,4754401,2017-06-21 19:15:33.433,CA,ON,Etobicoke,43.6928,-79.531,POI3,513967.9547546912
4742,4754409,2017-06-21 15:15:33.510,CA,ON,Mississauga,43.6618,-79.7034,POI3,527976.7487377875
4743,4754411,2017-06-21 20:15:33.677,CA,ON,Toronto,43.6666,-79.3823,POI3,504464.462731943
4744,4754492,2017-06-21 07:15:33.303,CA,QC,Montréal,45.5515,-73.6121,POI3,4889.916316512373
